Epoch,Total Requests,Llama_8B Requests,Llama_70B Requests,Total tokens,Llama_8B tokens,Llama_70B tokens
0,26,17,9,47911,20543,27368
1,5,4,1,3301,2819,482
2,4,3,1,7848,5167,2681
3,10,8,2,12554,6673,5881
4,3,3,0,5273,5273,0
5,7,7,0,4522,4522,0
6,11,11,0,12282,12282,0
7,4,4,0,5859,5859,0
8,9,7,2,14064,10982,3082
9,7,7,0,18622,18622,0
10,2,2,0,16322,16322,0
11,4,4,0,34153,34153,0
12,5,2,3,22703,9054,13649
13,4,3,1,8762,6166,2596
14,4,3,1,8762,6166,2596
15,1,0,1,846,0,846
16,1,0,1,846,0,846
17,5,0,5,6712,0,6712
18,2200,2200,0,456272,456272,0
19,534,532,2,110898,110552,346
20,534,532,2,110898,110552,346
21,534,532,2,110898,110552,346
22,4,4,0,8657,8657,0
23,2,2,0,5537,5537,0
24,1355,1355,0,282726,282726,0
25,2,2,0,393,393,0
26,2,2,0,393,393,0
27,1,0,1,884,0,884
28,1,0,1,884,0,884
29,1,1,0,193,193,0
30,1,1,0,193,193,0
31,1,0,1,6748,0,6748
32,2,0,2,12487,0,12487
33,2,0,2,12487,0,12487
34,2,0,2,12487,0,12487
35,4,3,1,963,684,279
36,18,12,6,41603,26752,14851
37,23,20,3,30523,28912,1611
38,1883,1874,9,415087,398395,16692
39,908,898,10,221102,198351,22751
40,34,23,11,25315,16479,8836
41,46,30,16,50394,26791,23603
42,55,41,14,38687,19292,19395
43,60,53,7,35990,28028,7962
44,1285,1272,13,312397,299143,13254
45,1352,1339,13,340772,329577,11195
46,1004,994,10,251877,244214,7663
47,20,15,5,27196,14458,12738
48,12,8,4,13754,11702,2052
49,6,5,1,6199,6118,81
50,1430,1425,5,320986,319667,1319
51,657,654,3,147743,144261,3482
52,52,49,3,26196,23988,2208
53,57,55,2,34498,32031,2467
54,272,269,3,71641,70864,777
55,1589,1578,11,407049,394120,12929
56,1219,1204,15,323189,309066,14123
57,540,527,13,157399,143417,13982
58,635,624,11,237644,218417,19227
59,1878,1865,13,494795,479011,15784
60,377,360,17,202172,180498,21674
61,75,56,19,85906,65173,20733
62,143,115,28,202229,138901,63328
63,68,48,20,117113,65269,51844
64,46,27,19,108735,19936,88799
65,1030,1003,27,316603,271694,44909
66,1891,1868,23,505078,467868,37210
67,2111,2086,25,592338,545329,47009
68,954,936,18,259101,234498,24603
69,59,42,17,73272,32458,40814
70,31,22,9,28455,20647,7808
71,1183,1167,16,309168,277625,31543
72,1240,1235,5,277063,267830,9233
73,1883,1875,8,437179,425280,11899
74,1779,1767,12,409543,402860,6683
75,1826,1821,5,454283,443311,10972
76,3431,3409,22,811144,779610,31534
77,2031,2016,15,522294,486570,35724
78,35,17,18,32916,12319,20597
79,36,24,12,48588,23915,24673
80,32,18,14,46298,24029,22269
81,1173,1153,20,328607,276185,52422
82,3024,3010,14,722573,689515,33058
83,3725,3716,9,859205,843153,16052
84,3372,3365,7,761474,750358,11116
85,3849,3841,8,891929,883571,8358
86,2712,2703,9,630987,625924,5063
87,2309,2304,5,543951,537392,6559
88,2268,2262,6,517582,514047,3535
89,1726,1715,11,417829,406694,11135
90,1351,1345,6,318993,315800,3193
91,1168,1162,6,273107,268290,4817
92,1802,1793,9,425296,413846,11450
93,2264,2257,7,517421,508792,8629
94,4692,4686,6,1069735,1061548,8187
95,1744,1741,3,401839,393159,8680
96,3969,3966,3,904900,894593,10307
97,3735,3728,7,856748,846333,10415
98,4480,4474,6,1021449,1010501,10948
99,2126,2124,2,489017,485150,3867
100,1164,1160,4,267673,261173,6500
101,1023,1019,4,235100,227234,7866
102,1971,1971,0,446145,446145,0
103,1890,1888,2,430801,427839,2962
104,1915,1914,1,424714,414881,9833
105,2225,2225,0,488140,488140,0
106,1891,1890,1,415661,415543,118
107,5099,5096,3,1132329,1131240,1089
108,4257,4256,1,964467,964408,59
109,3107,3105,2,703365,701308,2057
110,1944,1942,2,437346,436009,1337
111,2107,2107,0,472619,472619,0
112,2760,2760,0,619894,619894,0
113,2653,2653,0,595134,595134,0
114,1447,1447,0,324301,324301,0
115,1557,1557,0,349095,349095,0
116,2563,2562,1,576206,575469,737
117,2211,2211,0,498891,498891,0
118,2205,2205,0,496223,496223,0
119,2117,2117,0,479057,479057,0
120,2147,2147,0,483460,483460,0
121,1484,1484,0,332484,332484,0
122,2649,2649,0,594740,594740,0
123,2277,2277,0,511517,511517,0
124,4114,4114,0,922346,922346,0
125,4881,4881,0,1093349,1093349,0
126,2743,2743,0,614112,614112,0
127,1712,1712,0,382718,382718,0
128,920,920,0,206575,206575,0
129,1358,1357,1,305084,304179,905
130,1331,1331,0,298196,298196,0
131,1490,1489,1,334964,334065,899
132,1760,1760,0,401760,401760,0
133,1027,1014,13,260765,250680,10085
134,3450,3439,11,784359,777058,7301
135,3618,3611,7,819591,814934,4657
136,3604,3584,20,834739,815346,19393
137,4476,4461,15,1009914,994760,15154
138,3211,3189,22,736295,709854,26441
139,1228,1213,15,299068,276153,22915
140,44,22,22,45037,19495,25542
141,42,3,39,41156,3824,37332
142,44,26,18,49919,25066,24853
143,37,24,13,34348,15531,18817
144,69,56,13,39525,28840,10685
145,639,635,4,167474,163554,3920
146,4385,4380,5,1022008,1018310,3698
147,4086,4078,8,960236,953884,6352
148,5386,5374,12,1268376,1256402,11974
149,3799,3786,13,890274,885791,4483
150,4835,4825,10,1148857,1137085,11772
151,4137,4118,19,1002830,979078,23752
152,728,712,16,198540,180643,17897
153,38,22,16,40110,14020,26090
154,60,32,28,63053,34961,28092
155,200,169,31,86970,55979,30991
156,1190,1169,21,262304,236681,25623
157,1592,1569,23,385887,354320,31567
158,1757,1741,16,426194,398665,27529
159,417,407,10,115251,103754,11497
160,2265,2240,25,599227,564244,34983
161,3230,3204,26,815441,772098,43343
162,4288,4272,16,992361,970270,22091
163,4050,4029,21,962185,923926,38259
164,3300,3275,25,804618,752850,51768
165,4590,4563,27,1082954,1027661,55293
166,3367,3361,6,764338,753962,10376
167,2713,2710,3,597453,594687,2766
168,2494,2484,10,551628,540306,11322
169,2664,2659,5,570594,565018,5576
170,1258,1256,2,269316,268561,755
171,1768,1760,8,368305,358121,10184
172,2142,2131,11,486702,472772,13930
173,2011,1991,20,452614,436020,16594
174,2227,2207,20,523529,509212,14317
175,3024,3019,5,705531,696996,8535
176,2163,2153,10,483601,474937,8664
177,1789,1787,2,406592,404885,1707
178,1851,1839,12,417543,409126,8417
179,779,769,10,192334,183189,9145
180,1864,1846,18,440485,423410,17075
181,1298,1288,10,309477,300536,8941
182,1245,1230,15,272009,260136,11873
183,3298,3274,24,768683,729747,38936
184,2490,2466,24,601425,544910,56515
185,2293,2276,17,510775,487414,23361
186,1329,1323,6,285312,278839,6473
187,1818,1813,5,340951,333211,7740
188,600,597,3,132621,130940,1681
189,685,682,3,153452,144700,8752
190,1656,1643,13,354030,339946,14084
191,1440,1434,6,291245,284126,7119
192,1209,1203,6,283184,273682,9502
193,1286,1281,5,276459,275789,670
194,1282,1280,2,265636,264346,1290
195,889,884,5,193232,180220,13012
196,809,802,7,173525,167031,6494
197,1074,1070,4,231425,224609,6816
198,963,963,0,207399,207399,0
199,1202,1201,1,244577,243899,678
200,1525,1525,0,323272,323272,0
201,1491,1491,0,319374,319374,0
202,1639,1639,0,352740,352740,0
203,1645,1645,0,354259,354259,0
204,2224,2224,0,476908,476908,0
205,3187,3187,0,679561,679561,0
206,2591,2591,0,552679,552679,0
207,2177,2176,1,456072,455652,420
208,1712,1710,2,348656,341403,7253
209,1018,1018,0,193757,193757,0
210,613,611,2,118091,116466,1625
211,613,611,2,118091,116466,1625
212,613,611,2,118091,116466,1625
213,613,611,2,118091,116466,1625
214,613,611,2,118091,116466,1625
215,613,611,2,118091,116466,1625
216,759,759,0,176440,176440,0
217,1570,1569,1,365357,365120,237
218,1621,1621,0,376859,376859,0
219,1739,1739,0,404497,404497,0
220,1793,1793,0,420022,420022,0
221,1906,1906,0,443233,443233,0
222,2430,2429,1,565209,564855,354
223,1193,1187,6,284942,276208,8734
224,803,797,6,193770,185453,8317
225,5,0,5,7414,0,7414
226,3,1,2,3409,416,2993
227,8,7,1,9204,4474,4730
228,12,9,3,5864,4100,1764
229,81,72,9,63057,50894,12163
230,41,29,12,39243,19577,19666
231,44,32,12,33439,13436,20003
232,402,394,8,90129,85272,4857
233,31,16,15,19503,7927,11576
234,1033,1021,12,248820,231184,17636
235,1729,1723,6,333966,322889,11077
236,1960,1945,15,378451,362566,15885
237,2195,2187,8,422563,413080,9483
238,2129,2109,20,444773,428615,16158
239,1968,1959,9,411716,400456,11260
240,2411,2405,6,473091,458082,15009
241,2878,2872,6,539726,536100,3626
242,3396,3392,4,640418,631198,9220
