Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5270414.0,ChatGPT,708,34,742,Conversation log
5270433.0,ChatGPT,1533,403,1936,Conversation log
5270463.0,GPT-4,2419,484,2903,Conversation log
5270473.0,ChatGPT,772,26,798,Conversation log
5270551.0,GPT-4,309,178,487,Conversation log
5270592.0,ChatGPT,26,142,168,Conversation log
5270614.0,ChatGPT,185,98,283,Conversation log
5270625.0,ChatGPT,1681,320,2001,Conversation log
5270679.0,ChatGPT,1737,446,2183,Conversation log
5270722.0,ChatGPT,859,345,1204,Conversation log
5270733.0,GPT-4,4231,956,5187,Conversation log
5270735.0,GPT-4,413,433,846,Conversation log
5270807.0,ChatGPT,204,398,602,Conversation log
5270807.0,ChatGPT,1967,313,2280,Conversation log
5270831.0,ChatGPT,93,168,261,Conversation log
5270845.0,ChatGPT,626,310,936,Conversation log
5270920.0,ChatGPT,339,208,547,Conversation log
5270945.0,ChatGPT,1675,262,1937,Conversation log
5270957.0,GPT-4,2371,759,3130,Conversation log
5270967.0,GPT-4,4006,866,4872,Conversation log
5270975.0,ChatGPT,1478,380,1858,Conversation log
5271052.0,GPT-4,641,229,870,Conversation log
5271202.0,ChatGPT,1544,138,1682,Conversation log
5271204.0,GPT-4,2682,833,3515,Conversation log
5271280.0,ChatGPT,888,237,1125,Conversation log
5271289.0,GPT-4,4585,973,5558,Conversation log
5271348.0,ChatGPT,1215,99,1314,Conversation log
5271476.0,ChatGPT,306,247,553,Conversation log
5271601.0,ChatGPT,36,28,64,Conversation log
5271746.0,GPT-4,18,464,482,Conversation log
5271877.0,ChatGPT,606,282,888,Conversation log
5272397.0,ChatGPT,1621,62,1683,Conversation log
5272599.0,ChatGPT,1004,495,1499,Conversation log
5272630.0,ChatGPT,1348,637,1985,Conversation log
5272850.0,GPT-4,2233,448,2681,Conversation log
5273130.0,ChatGPT,529,161,690,Conversation log
5273312.0,ChatGPT,26,256,282,Conversation log
5273354.0,ChatGPT,856,89,945,Conversation log
5273428.0,ChatGPT,309,427,736,Conversation log
5273587.0,GPT-4,3486,812,4298,Conversation log
5273722.0,ChatGPT,759,343,1102,Conversation log
5273851.0,GPT-4,1398,185,1583,Conversation log
5273867.0,ChatGPT,707,96,803,Conversation log
5273888.0,ChatGPT,542,82,624,Conversation log
5273894.0,ChatGPT,1125,366,1491,Conversation log
5274003.0,ChatGPT,1514,409,1923,Conversation log
5274108.0,ChatGPT,1664,390,2054,Conversation log
5274368.0,ChatGPT,1159,137,1296,Conversation log
5274976.0,ChatGPT,1403,19,1422,Conversation log
5275057.0,ChatGPT,1074,77,1151,Conversation log
5275262.0,ChatGPT,55,29,84,Conversation log
5275311.0,ChatGPT,579,57,636,Conversation log
5275335.0,ChatGPT,597,73,670,Conversation log
5275592.0,ChatGPT,323,90,413,Conversation log
