run_id,trace,framework,sweep,num_dcs,target_util,large_frac,distribution,prediction_noise,run,scope,status,epochs_completed,epochs_expected,metric_source,avg_ttft_s,total_carbon_kg,total_water_m3,total_energy_usd,total_energy_kwh,avg_epoch_phv,elapsed_min,exit_code,start_time,end_time,command
1,burstgpt,ddqn,baseline,8,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,11.628674,48235.431,2156422.8068,19383.330,122863.306,,2.56,0,2026-06-11T16:31:55,2026-06-11T16:34:29,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework ddqn --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
2,burstgpt,ddqn,baseline,8,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,11.389750,48560.963,2171763.0439,19490.733,123643.949,,2.49,0,2026-06-11T16:34:29,2026-06-11T16:36:59,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework ddqn --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
3,burstgpt,ddqn,baseline,8,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,12.009505,48458.644,2129091.4750,19195.178,123225.647,,2.50,0,2026-06-11T16:36:59,2026-06-11T16:39:28,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework ddqn --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
4,burstgpt,ddqn,baseline,8,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,11.305975,48456.456,2146005.2465,19306.624,123148.129,,2.50,0,2026-06-11T16:39:28,2026-06-11T16:41:59,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework ddqn --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
5,burstgpt,ddqn,baseline,8,0.95,0.75,even,0.00,5,run,ok,96,96,final-report,11.681419,48476.019,2185696.9831,19264.290,123272.224,,2.49,0,2026-06-11T16:41:59,2026-06-11T16:44:28,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework ddqn --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
6,burstgpt,actorcritic,baseline,8,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,11.095354,48343.422,2176952.5824,19335.401,123340.540,,2.50,0,2026-06-11T16:44:28,2026-06-11T16:46:58,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework actorcritic --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
7,burstgpt,actorcritic,baseline,8,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,11.741277,48481.779,2178707.0349,19324.823,123263.426,,2.48,0,2026-06-11T16:46:58,2026-06-11T16:49:27,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework actorcritic --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
8,burstgpt,actorcritic,baseline,8,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,11.386650,48381.814,2072826.5918,19036.259,122475.970,,2.49,0,2026-06-11T16:49:27,2026-06-11T16:51:56,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework actorcritic --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
9,burstgpt,actorcritic,baseline,8,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,11.902422,48495.838,2113625.1974,19269.425,122903.926,,2.49,0,2026-06-11T16:51:56,2026-06-11T16:54:26,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework actorcritic --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
10,burstgpt,actorcritic,baseline,8,0.95,0.75,even,0.00,5,run,ok,96,96,final-report,11.120571,48417.006,2210530.5568,19356.266,123578.052,,2.50,0,2026-06-11T16:54:26,2026-06-11T16:56:56,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework actorcritic --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
11,burstgpt,qlearning,baseline,8,0.95,0.75,even,0.00,1,run,ok,96,96,final-report,11.492007,48177.361,2154752.6460,19213.329,122953.812,,2.47,0,2026-06-11T16:56:56,2026-06-11T16:59:24,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework qlearning --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
12,burstgpt,qlearning,baseline,8,0.95,0.75,even,0.00,2,run,ok,96,96,final-report,11.051755,48492.345,2193785.0101,19312.867,123452.009,,2.46,0,2026-06-11T16:59:24,2026-06-11T17:01:52,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework qlearning --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
13,burstgpt,qlearning,baseline,8,0.95,0.75,even,0.00,3,run,ok,96,96,final-report,11.263260,48018.046,2183691.3338,19150.877,122847.122,,2.46,0,2026-06-11T17:01:52,2026-06-11T17:04:19,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework qlearning --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
14,burstgpt,qlearning,baseline,8,0.95,0.75,even,0.00,4,run,ok,96,96,final-report,11.921001,48724.367,2187254.4167,19330.313,123868.552,,2.46,0,2026-06-11T17:04:19,2026-06-11T17:06:47,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework qlearning --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
15,burstgpt,qlearning,baseline,8,0.95,0.75,even,0.00,5,run,ok,96,96,final-report,11.886403,48028.867,2143322.0653,19293.899,122789.877,,2.45,0,2026-06-11T17:06:47,2026-06-11T17:09:14,/home/sirui/anaconda3/bin/python3 -u simulator_LLM.py --framework qlearning --epoch 96 --num-dcs 8 --target-util 0.95 --autoscale-mode global_peak --autoscale-max-drop 0.02 --autoscale-max-mult 1500000 --autoscale-max-rows 16000000 --autoscale-search-steps 9 --distribution even --autoscale-target-token-scale 50.000000 --autoscale-plan-cache experiment_results/autoscale_plans.json --autoscale-plan-key burstgpt|dcs8|util0.95|lf0.75|even|noise0.00
