num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,80GB,1558,,,,,,0,0,1,400,AWQ 4-bit,Chat
1,80GB,,13627,13627,,11038,,0,0,1,400,AWQ 4-bit (70B),Chat
1,80GB,2542,,,,,,0,0,1,400,FP16 (Base),Chat
1,80GB,,22233,22233,,18009,,0,0,1,400,FP16 (Base) (70B),Chat
1,80GB,1558,,,,,,0,0,1,400,GPTQ 4-bit,Chat
1,80GB,,13627,13627,,11038,,0,0,1,400,GPTQ 4-bit (70B),Chat
1,80GB,1886,,,,,,0,0,1,400,GPTQ 8-bit,Chat
1,80GB,,16496,16496,,13361,,0,0,1,400,GPTQ 8-bit (70B),Chat
1,80GB,12776,,,,,,0,0,1,400,AWQ 4-bit,Novel
1,80GB,,111740,111740,,90509,,0,0,1,400,AWQ 4-bit (70B),Novel
1,80GB,20844,,,,,,0,0,1,400,FP16 (Base),Novel
1,80GB,,182312,182312,,147673,,0,0,1,400,FP16 (Base) (70B),Novel
1,80GB,12776,,,,,,0,0,1,400,GPTQ 4-bit,Novel
1,80GB,,111740,111740,,90509,,0,0,1,400,GPTQ 4-bit (70B),Novel
1,80GB,15465,,,,,,0,0,1,400,GPTQ 8-bit,Novel
1,80GB,,135264,135264,,109564,,0,0,1,400,GPTQ 8-bit (70B),Novel
1,80GB,1885,,,,,,0,0,1,400,AWQ 4-bit,Summarization
1,80GB,,16488,16488,,13356,,0,0,1,400,AWQ 4-bit (70B),Summarization
1,80GB,3076,,,,,,0,0,1,400,FP16 (Base),Summarization
1,80GB,,26902,26902,,21791,,0,0,1,400,FP16 (Base) (70B),Summarization
1,80GB,1885,,,,,,0,0,1,400,GPTQ 4-bit,Summarization
1,80GB,,16488,16488,,13356,,0,0,1,400,GPTQ 4-bit (70B),Summarization
1,80GB,2282,,,,,,0,0,1,400,GPTQ 8-bit,Summarization
1,80GB,,19960,19960,,16167,,0,0,1,400,GPTQ 8-bit (70B),Summarization
1,80GB,1675,,,,,,0,0,16,400,AWQ 4-bit,Chat
1,80GB,,14649,14649,,11866,,0,0,16,400,AWQ 4-bit (70B),Chat
1,80GB,2733,,,,,,0,0,16,400,FP16 (Base),Chat
1,80GB,,23901,23901,,19360,,0,0,16,400,FP16 (Base) (70B),Chat
1,80GB,1675,,,,,,0,0,16,400,GPTQ 4-bit,Chat
1,80GB,,14649,14649,,11866,,0,0,16,400,GPTQ 4-bit (70B),Chat
1,80GB,2027,,,,,,0,0,16,400,GPTQ 8-bit,Chat
1,80GB,,17733,17733,,14364,,0,0,16,400,GPTQ 8-bit (70B),Chat
1,80GB,13734,,,,,,0,0,16,400,AWQ 4-bit,Novel
1,80GB,,120120,120120,,97297,,0,0,16,400,AWQ 4-bit (70B),Novel
1,80GB,22408,,,,,,0,0,16,400,FP16 (Base),Novel
1,80GB,,195986,195986,,158748,,0,0,16,400,FP16 (Base) (70B),Novel
1,80GB,13734,,,,,,0,0,16,400,GPTQ 4-bit,Novel
1,80GB,,120120,120120,,97297,,0,0,16,400,GPTQ 4-bit (70B),Novel
1,80GB,16625,,,,,,0,0,16,400,GPTQ 8-bit,Novel
1,80GB,,145409,145409,,117781,,0,0,16,400,GPTQ 8-bit (70B),Novel
1,80GB,2027,,,,,,0,0,16,400,AWQ 4-bit,Summarization
1,80GB,,17725,17725,,14357,,0,0,16,400,AWQ 4-bit (70B),Summarization
1,80GB,3307,,,,,,0,0,16,400,FP16 (Base),Summarization
1,80GB,,28920,28920,,23425,,0,0,16,400,FP16 (Base) (70B),Summarization
1,80GB,2027,,,,,,0,0,16,400,GPTQ 4-bit,Summarization
1,80GB,,17725,17725,,14357,,0,0,16,400,GPTQ 4-bit (70B),Summarization
1,80GB,2453,,,,,,0,0,16,400,GPTQ 8-bit,Summarization
1,80GB,,21457,21457,,17380,,0,0,16,400,GPTQ 8-bit (70B),Summarization
1,80GB,1753,,,,,,0,0,64,400,AWQ 4-bit,Chat
1,80GB,,15330,15330,,12417,,0,0,64,400,AWQ 4-bit (70B),Chat
1,80GB,2860,,,,,,0,0,64,400,FP16 (Base),Chat
1,80GB,,25012,25012,,20260,,0,0,64,400,FP16 (Base) (70B),Chat
1,80GB,1753,,,,,,0,0,64,400,GPTQ 4-bit,Chat
1,80GB,,15330,15330,,12417,,0,0,64,400,GPTQ 4-bit (70B),Chat
1,80GB,2122,,,,,,0,0,64,400,GPTQ 8-bit,Chat
1,80GB,,18558,18558,,15032,,0,0,64,400,GPTQ 8-bit (70B),Chat
1,80GB,14373,,,,,,0,0,64,400,AWQ 4-bit,Novel
1,80GB,,125707,125707,,101823,,0,0,64,400,AWQ 4-bit (70B),Novel
1,80GB,23450,,,,,,0,0,64,400,FP16 (Base),Novel
1,80GB,,205101,205101,,166132,,0,0,64,400,FP16 (Base) (70B),Novel
1,80GB,14373,,,,,,0,0,64,400,GPTQ 4-bit,Novel
1,80GB,,125707,125707,,101823,,0,0,64,400,GPTQ 4-bit (70B),Novel
1,80GB,17398,,,,,,0,0,64,400,GPTQ 8-bit,Novel
1,80GB,,152172,152172,,123259,,0,0,64,400,GPTQ 8-bit (70B),Novel
1,80GB,2121,,,,,,0,0,64,400,AWQ 4-bit,Summarization
1,80GB,,18549,18549,,15025,,0,0,64,400,AWQ 4-bit (70B),Summarization
1,80GB,3460,,,,,,0,0,64,400,FP16 (Base),Summarization
1,80GB,,30265,30265,,24515,,0,0,64,400,FP16 (Base) (70B),Summarization
1,80GB,2121,,,,,,0,0,64,400,GPTQ 4-bit,Summarization
1,80GB,,18549,18549,,15025,,0,0,64,400,GPTQ 4-bit (70B),Summarization
1,80GB,2567,,,,,,0,0,64,400,GPTQ 8-bit,Summarization
1,80GB,,22455,22455,,18188,,0,0,64,400,GPTQ 8-bit (70B),Summarization
1,80GB,3038,,,,,,0,0,256,400,AWQ 4-bit,Chat
1,80GB,,26572,26572,,21524,,0,0,256,400,AWQ 4-bit (70B),Chat
1,80GB,4957,,,,,,0,0,256,400,FP16 (Base),Chat
1,80GB,,43355,43355,,35117,,0,0,256,400,FP16 (Base) (70B),Chat
1,80GB,3038,,,,,,0,0,256,400,GPTQ 4-bit,Chat
1,80GB,,26572,26572,,21524,,0,0,256,400,GPTQ 4-bit (70B),Chat
1,80GB,3678,,,,,,0,0,256,400,GPTQ 8-bit,Chat
1,80GB,,32166,32166,,26055,,0,0,256,400,GPTQ 8-bit (70B),Chat
1,80GB,24912,,,,,,0,0,256,400,AWQ 4-bit,Novel
1,80GB,,217893,217893,,176493,,0,0,256,400,AWQ 4-bit (70B),Novel
1,80GB,40647,,,,,,0,0,256,400,FP16 (Base),Novel
1,80GB,,355509,355509,,287962,,0,0,256,400,FP16 (Base) (70B),Novel
1,80GB,24912,,,,,,0,0,256,400,GPTQ 4-bit,Novel
1,80GB,,217893,217893,,176493,,0,0,256,400,GPTQ 4-bit (70B),Novel
1,80GB,30157,,,,,,0,0,256,400,GPTQ 8-bit,Novel
1,80GB,,263765,263765,,213649,,0,0,256,400,GPTQ 8-bit (70B),Novel
1,80GB,3676,,,,,,0,0,256,400,AWQ 4-bit,Summarization
