num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,180GB,108,,,,,,0,0,1,1000,FP4,Chat
1,180GB,,944,944,3680,576,,0,0,1,1000,FP4 (70B),Chat
1,180GB,140,,,,,,0,0,1,1000,FP8,Chat
1,180GB,,1227,1227,4784,748,,0,0,1,1000,FP8 (70B),Chat
1,180GB,227,,,,,,0,0,1,1000,FP16 (Base),Chat
1,180GB,,1982,1982,7729,1209,,0,0,1,1000,FP16 (Base) (70B),Chat
1,180GB,885,,,,,,0,0,1,1000,FP4,Novel
1,180GB,,7738,7738,30179,4720,,0,0,1,1000,FP4 (70B),Novel
1,180GB,1150,,,,,,0,0,1,1000,FP8,Novel
1,180GB,,10060,10060,39233,6136,,0,0,1,1000,FP8 (70B),Novel
1,180GB,1858,,,,,,0,0,1,1000,FP16 (Base),Novel
1,180GB,,16250,16250,63376,9913,,0,0,1,1000,FP16 (Base) (70B),Novel
1,180GB,131,,,,,,0,0,1,1000,FP4,Summarization
1,180GB,,1142,1142,4453,697,,0,0,1,1000,FP4 (70B),Summarization
1,180GB,170,,,,,,0,0,1,1000,FP8,Summarization
1,180GB,,1484,1484,5789,905,,0,0,1,1000,FP8 (70B),Summarization
1,180GB,274,,,,,,0,0,1,1000,FP16 (Base),Summarization
1,180GB,,2398,2398,9352,1463,,0,0,1,1000,FP16 (Base) (70B),Summarization
1,180GB,116,,,,,,0,0,16,1000,FP4,Chat
1,180GB,,1014,1014,3956,619,,0,0,16,1000,FP4 (70B),Chat
1,180GB,151,,,,,,0,0,16,1000,FP8,Chat
1,180GB,,1319,1319,5143,804,,0,0,16,1000,FP8 (70B),Chat
1,180GB,244,,,,,,0,0,16,1000,FP16 (Base),Chat
1,180GB,,2130,2130,8308,1300,,0,0,16,1000,FP16 (Base) (70B),Chat
1,180GB,951,,,,,,0,0,16,1000,FP4,Novel
1,180GB,,8319,8319,32442,5074,,0,0,16,1000,FP4 (70B),Novel
1,180GB,1236,,,,,,0,0,16,1000,FP8,Novel
1,180GB,,10814,10814,42175,6597,,0,0,16,1000,FP8 (70B),Novel
1,180GB,1997,,,,,,0,0,16,1000,FP16 (Base),Novel
1,180GB,,17469,17469,68129,10656,,0,0,16,1000,FP16 (Base) (70B),Novel
1,180GB,140,,,,,,0,0,16,1000,FP4,Summarization
1,180GB,,1227,1227,4787,749,,0,0,16,1000,FP4 (70B),Summarization
1,180GB,182,,,,,,0,0,16,1000,FP8,Summarization
1,180GB,,1596,1596,6223,973,,0,0,16,1000,FP8 (70B),Summarization
1,180GB,295,,,,,,0,0,16,1000,FP16 (Base),Summarization
1,180GB,,2578,2578,10053,1572,,0,0,16,1000,FP16 (Base) (70B),Summarization
1,180GB,121,,,,,,0,0,64,1000,FP4,Chat
1,180GB,,1062,1062,4140,648,,0,0,64,1000,FP4 (70B),Chat
1,180GB,158,,,,,,0,0,64,1000,FP8,Chat
1,180GB,,1380,1380,5383,842,,0,0,64,1000,FP8 (70B),Chat
1,180GB,255,,,,,,0,0,64,1000,FP16 (Base),Chat
1,180GB,,2229,2229,8695,1360,,0,0,64,1000,FP16 (Base) (70B),Chat
1,180GB,995,,,,,,0,0,64,1000,FP4,Novel
1,180GB,,8705,8705,33951,5310,,0,0,64,1000,FP4 (70B),Novel
1,180GB,1294,,,,,,0,0,64,1000,FP8,Novel
1,180GB,,11317,11317,44137,6903,,0,0,64,1000,FP8 (70B),Novel
1,180GB,2090,,,,,,0,0,64,1000,FP16 (Base),Novel
1,180GB,,18282,18282,71298,11152,,0,0,64,1000,FP16 (Base) (70B),Novel
1,180GB,147,,,,,,0,0,64,1000,FP4,Summarization
1,180GB,,1285,1285,5010,784,,0,0,64,1000,FP4 (70B),Summarization
1,180GB,191,,,,,,0,0,64,1000,FP8,Summarization
1,180GB,,1670,1670,6513,1019,,0,0,64,1000,FP8 (70B),Summarization
1,180GB,308,,,,,,0,0,64,1000,FP16 (Base),Summarization
1,180GB,,2698,2698,10521,1646,,0,0,64,1000,FP16 (Base) (70B),Summarization
1,180GB,210,,,,,,0,0,256,1000,FP4,Chat
1,180GB,,1840,1840,7177,1123,,0,0,256,1000,FP4 (70B),Chat
1,180GB,274,,,,,,0,0,256,1000,FP8,Chat
1,180GB,,2392,2392,9330,1459,,0,0,256,1000,FP8 (70B),Chat
1,180GB,442,,,,,,0,0,256,1000,FP16 (Base),Chat
1,180GB,,3864,3864,15071,2357,,0,0,256,1000,FP16 (Base) (70B),Chat
1,180GB,1725,,,,,,0,0,256,1000,FP4,Novel
1,180GB,,15090,15090,58849,9205,,0,0,256,1000,FP4 (70B),Novel
1,180GB,2243,,,,,,0,0,256,1000,FP8,Novel
1,180GB,,19616,19616,76504,11966,,0,0,256,1000,FP8 (70B),Novel
1,180GB,3623,,,,,,0,0,256,1000,FP16 (Base),Novel
1,180GB,,31688,31688,123583,19330,,0,0,256,1000,FP16 (Base) (70B),Novel
1,180GB,255,,,,,,0,0,256,1000,FP4,Summarization
1,180GB,,2227,2227,8684,1358,,0,0,256,1000,FP4 (70B),Summarization
1,180GB,331,,,,,,0,0,256,1000,FP8,Summarization
1,180GB,,2895,2895,11289,1766,,0,0,256,1000,FP8 (70B),Summarization
1,180GB,535,,,,,,0,0,256,1000,FP16 (Base),Summarization
1,180GB,,4676,4676,18236,2852,,0,0,256,1000,FP16 (Base) (70B),Summarization
2,180GB,59,,,,,,0,0,1,2000,FP4,Chat
2,180GB,,519,519,2024,317,12457,0,0,1,2000,FP4 (70B),Chat
2,180GB,77,,,,,,0,0,1,2000,FP8,Chat
2,180GB,,675,675,2631,412,16194,0,0,1,2000,FP8 (70B),Chat
2,180GB,125,,,,,,0,0,1,2000,FP16 (Base),Chat
2,180GB,,1090,1090,4251,665,26159,0,0,1,2000,FP16 (Base) (70B),Chat
2,180GB,487,,,,,,0,0,1,2000,FP4,Novel
2,180GB,,4256,4256,16598,2596,102144,0,0,1,2000,FP4 (70B),Novel
2,180GB,633,,,,,,0,0,1,2000,FP8,Novel
2,180GB,,5533,5533,21578,3375,132788,0,0,1,2000,FP8 (70B),Novel
2,180GB,1022,,,,,,0,0,1,2000,FP16 (Base),Novel
2,180GB,,8938,8938,34857,5452,214503,0,0,1,2000,FP16 (Base) (70B),Novel
2,180GB,72,,,,,,0,0,1,2000,FP4,Summarization
2,180GB,,628,628,2449,383,15073,0,0,1,2000,FP4 (70B),Summarization
2,180GB,93,,,,,,0,0,1,2000,FP8,Summarization
2,180GB,,816,816,3184,498,19594,0,0,1,2000,FP8 (70B),Summarization
2,180GB,151,,,,,,0,0,1,2000,FP16 (Base),Summarization
2,180GB,,1319,1319,5143,804,31652,0,0,1,2000,FP16 (Base) (70B),Summarization
2,180GB,64,,,,,,0,0,16,2000,FP4,Chat
2,180GB,,558,558,2176,340,13391,0,0,16,2000,FP4 (70B),Chat
2,180GB,83,,,,,,0,0,16,2000,FP8,Chat
2,180GB,,725,725,2829,442,17408,0,0,16,2000,FP8 (70B),Chat
2,180GB,134,,,,,,0,0,16,2000,FP16 (Base),Chat
2,180GB,,1172,1172,4570,715,28121,0,0,16,2000,FP16 (Base) (70B),Chat
2,180GB,523,,,,,,0,0,16,2000,FP4,Novel
2,180GB,,4575,4575,17843,2791,109805,0,0,16,2000,FP4 (70B),Novel
2,180GB,680,,,,,,0,0,16,2000,FP8,Novel
2,180GB,,5948,5948,23196,3628,142747,0,0,16,2000,FP8 (70B),Novel
2,180GB,1099,,,,,,0,0,16,2000,FP16 (Base),Novel
2,180GB,,9608,9608,37471,5861,230591,0,0,16,2000,FP16 (Base) (70B),Novel
2,180GB,77,,,,,,0,0,16,2000,FP4,Summarization
2,180GB,,675,675,2633,412,16203,0,0,16,2000,FP4 (70B),Summarization
2,180GB,100,,,,,,0,0,16,2000,FP8,Summarization
2,180GB,,878,878,3423,535,21064,0,0,16,2000,FP8 (70B),Summarization
2,180GB,162,,,,,,0,0,16,2000,FP16 (Base),Summarization
2,180GB,,1418,1418,5529,865,34026,0,0,16,2000,FP16 (Base) (70B),Summarization
2,180GB,67,,,,,,0,0,64,2000,FP4,Chat
2,180GB,,584,584,2277,356,14014,0,0,64,2000,FP4 (70B),Chat
2,180GB,87,,,,,,0,0,64,2000,FP8,Chat
2,180GB,,759,759,2960,463,18218,0,0,64,2000,FP8 (70B),Chat
2,180GB,140,,,,,,0,0,64,2000,FP16 (Base),Chat
2,180GB,,1226,1226,4782,748,29429,0,0,64,2000,FP16 (Base) (70B),Chat
2,180GB,547,,,,,,0,0,64,2000,FP4,Novel
2,180GB,,4788,4788,18673,2921,114912,0,0,64,2000,FP4 (70B),Novel
2,180GB,712,,,,,,0,0,64,2000,FP8,Novel
2,180GB,,6224,6224,24275,3797,149386,0,0,64,2000,FP8 (70B),Novel
2,180GB,1150,,,,,,0,0,64,2000,FP16 (Base),Novel
2,180GB,,10055,10055,39214,6133,241316,0,0,64,2000,FP16 (Base) (70B),Novel
2,180GB,81,,,,,,0,0,64,2000,FP4,Summarization
2,180GB,,707,707,2755,431,16957,0,0,64,2000,FP4 (70B),Summarization
2,180GB,105,,,,,,0,0,64,2000,FP8,Summarization
2,180GB,,918,918,3582,560,22044,0,0,64,2000,FP8 (70B),Summarization
2,180GB,170,,,,,,0,0,64,2000,FP16 (Base),Summarization
2,180GB,,1484,1484,5786,905,35609,0,0,64,2000,FP16 (Base) (70B),Summarization
2,180GB,116,,,,,,0,0,256,2000,FP4,Chat
2,180GB,,1012,1012,3947,617,24290,0,0,256,2000,FP4 (70B),Chat
2,180GB,150,,,,,,0,0,256,2000,FP8,Chat
2,180GB,,1316,1316,5131,803,31578,0,0,256,2000,FP8 (70B),Chat
