num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,144GB,357,,,,,,0,0,1,900,FP8,Chat
1,144GB,,3118,3118,42097,2183,,0,0,1,900,FP8 (70B),Chat
1,144GB,553,,,,,,0,0,1,900,FP16 (Base),Chat
1,144GB,,4833,4833,65250,3383,,0,0,1,900,FP16 (Base) (70B),Chat
1,144GB,2923,,,,,,0,0,1,900,FP8,Novel
1,144GB,,25570,25570,345191,17899,,0,0,1,900,FP8 (70B),Novel
1,144GB,4531,,,,,,0,0,1,900,FP16 (Base),Novel
1,144GB,,39633,39633,535047,27743,,0,0,1,900,FP16 (Base) (70B),Novel
1,144GB,431,,,,,,0,0,1,900,FP8,Summarization
1,144GB,,3773,3773,50937,2641,,0,0,1,900,FP8 (70B),Summarization
1,144GB,669,,,,,,0,0,1,900,FP16 (Base),Summarization
1,144GB,,5848,5848,78952,4094,,0,0,1,900,FP16 (Base) (70B),Summarization
1,144GB,383,,,,,,0,0,16,900,FP8,Chat
1,144GB,,3352,3352,45254,2346,,0,0,16,900,FP8 (70B),Chat
1,144GB,594,,,,,,0,0,16,900,FP16 (Base),Chat
1,144GB,,5196,5196,70143,3637,,0,0,16,900,FP16 (Base) (70B),Chat
1,144GB,3143,,,,,,0,0,16,900,FP8,Novel
1,144GB,,27487,27487,371081,19241,,0,0,16,900,FP8 (70B),Novel
1,144GB,4871,,,,,,0,0,16,900,FP16 (Base),Novel
1,144GB,,42606,42606,575175,29824,,0,0,16,900,FP16 (Base) (70B),Novel
1,144GB,464,,,,,,0,0,16,900,FP8,Summarization
1,144GB,,4056,4056,54757,2839,,0,0,16,900,FP8 (70B),Summarization
1,144GB,719,,,,,,0,0,16,900,FP16 (Base),Summarization
1,144GB,,6287,6287,84873,4401,,0,0,16,900,FP16 (Base) (70B),Summarization
1,144GB,401,,,,,,0,0,64,900,FP8,Chat
1,144GB,,3508,3508,47359,2456,,0,0,64,900,FP8 (70B),Chat
1,144GB,622,,,,,,0,0,64,900,FP16 (Base),Chat
1,144GB,,5437,5437,73406,3806,,0,0,64,900,FP16 (Base) (70B),Chat
1,144GB,3289,,,,,,0,0,64,900,FP8,Novel
1,144GB,,28766,28766,388340,20136,,0,0,64,900,FP8 (70B),Novel
1,144GB,5098,,,,,,0,0,64,900,FP16 (Base),Novel
1,144GB,,44587,44587,601928,31211,,0,0,64,900,FP16 (Base) (70B),Novel
1,144GB,485,,,,,,0,0,64,900,FP8,Summarization
1,144GB,,4245,4245,57304,2971,,0,0,64,900,FP8 (70B),Summarization
1,144GB,752,,,,,,0,0,64,900,FP16 (Base),Summarization
1,144GB,,6579,6579,88821,4606,,0,0,64,900,FP16 (Base) (70B),Summarization
1,144GB,695,,,,,,0,0,256,900,FP8,Chat
1,144GB,,6081,6081,82088,4256,,0,0,256,900,FP8 (70B),Chat
1,144GB,1078,,,,,,0,0,256,900,FP16 (Base),Chat
1,144GB,,9425,9425,127237,6597,,0,0,256,900,FP16 (Base) (70B),Chat
1,144GB,5701,,,,,,0,0,256,900,FP8,Novel
1,144GB,,49861,49861,673123,34903,,0,0,256,900,FP8 (70B),Novel
1,144GB,8836,,,,,,0,0,256,900,FP16 (Base),Novel
1,144GB,,77285,77285,1043341,54099,,0,0,256,900,FP16 (Base) (70B),Novel
1,144GB,841,,,,,,0,0,256,900,FP8,Summarization
1,144GB,,7358,7358,99327,5150,,0,0,256,900,FP8 (70B),Summarization
1,144GB,1304,,,,,,0,0,256,900,FP16 (Base),Summarization
1,144GB,,11404,11404,153956,7983,,0,0,256,900,FP16 (Base) (70B),Summarization
2,144GB,196,,,,,,0,0,1,1800,FP8,Chat
2,144GB,,1715,1715,23153,1201,120053,0,0,1,1800,FP8 (70B),Chat
2,144GB,304,,,,,,0,0,1,1800,FP16 (Base),Chat
2,144GB,,2658,2658,35887,1861,186082,0,0,1,1800,FP16 (Base) (70B),Chat
2,144GB,1608,,,,,,0,0,1,1800,FP8,Novel
2,144GB,,14063,14063,189855,9844,984435,0,0,1,1800,FP8 (70B),Novel
2,144GB,2492,,,,,,0,0,1,1800,FP16 (Base),Novel
2,144GB,,21798,21798,294276,15259,1525874,0,0,1,1800,FP16 (Base) (70B),Novel
2,144GB,237,,,,,,0,0,1,1800,FP8,Summarization
2,144GB,,2075,2075,28015,1453,145264,0,0,1,1800,FP8 (70B),Summarization
2,144GB,368,,,,,,0,0,1,1800,FP16 (Base),Summarization
2,144GB,,3217,3217,43424,2252,225159,0,0,1,1800,FP16 (Base) (70B),Summarization
2,144GB,211,,,,,,0,0,16,1800,FP8,Chat
2,144GB,,1844,1844,24890,1291,129057,0,0,16,1800,FP8 (70B),Chat
2,144GB,327,,,,,,0,0,16,1800,FP16 (Base),Chat
2,144GB,,2858,2858,38579,2000,200038,0,0,16,1800,FP16 (Base) (70B),Chat
2,144GB,1729,,,,,,0,0,16,1800,FP8,Novel
2,144GB,,15118,15118,204094,10583,1058268,0,0,16,1800,FP8 (70B),Novel
2,144GB,2679,,,,,,0,0,16,1800,FP16 (Base),Novel
2,144GB,,23433,23433,316346,16403,1640315,0,0,16,1800,FP16 (Base) (70B),Novel
2,144GB,255,,,,,,0,0,16,1800,FP8,Summarization
2,144GB,,2231,2231,30116,1562,156159,0,0,16,1800,FP8 (70B),Summarization
2,144GB,395,,,,,,0,0,16,1800,FP16 (Base),Summarization
2,144GB,,3458,3458,46680,2420,242046,0,0,16,1800,FP16 (Base) (70B),Summarization
2,144GB,221,,,,,,0,0,64,1800,FP8,Chat
2,144GB,,1929,1929,26047,1351,135060,0,0,64,1800,FP8 (70B),Chat
2,144GB,342,,,,,,0,0,64,1800,FP16 (Base),Chat
2,144GB,,2991,2991,40373,2093,209342,0,0,64,1800,FP16 (Base) (70B),Chat
2,144GB,1809,,,,,,0,0,64,1800,FP8,Novel
2,144GB,,15821,15821,213587,11075,1107489,0,0,64,1800,FP8 (70B),Novel
2,144GB,2804,,,,,,0,0,64,1800,FP16 (Base),Novel
2,144GB,,24523,24523,331060,17166,1716608,0,0,64,1800,FP16 (Base) (70B),Novel
2,144GB,267,,,,,,0,0,64,1800,FP8,Summarization
2,144GB,,2335,2335,31517,1634,163422,0,0,64,1800,FP8 (70B),Summarization
2,144GB,414,,,,,,0,0,64,1800,FP16 (Base),Summarization
2,144GB,,3619,3619,48852,2533,253304,0,0,64,1800,FP16 (Base) (70B),Summarization
2,144GB,382,,,,,,0,0,256,1800,FP8,Chat
2,144GB,,3344,3344,45149,2341,234103,0,0,256,1800,FP8 (70B),Chat
2,144GB,593,,,,,,0,0,256,1800,FP16 (Base),Chat
2,144GB,,5184,5184,69980,3629,362860,0,0,256,1800,FP16 (Base) (70B),Chat
2,144GB,3135,,,,,,0,0,256,1800,FP8,Novel
