num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,80GB,517,,,,,,0,0,1,700,FP8,Chat
1,80GB,,4525,4525,,3484,,0,0,1,700,FP8 (70B),Chat
1,80GB,802,,,,,,0,0,1,700,FP16 (Base),Chat
1,80GB,,7014,7014,,5400,,0,0,1,700,FP16 (Base) (70B),Chat
1,80GB,466,,,,,,0,0,1,700,AWQ 4-bit,Chat
1,80GB,,4072,4072,,3136,,0,0,1,700,AWQ 4-bit (70B),Chat
1,80GB,543,,,,,,0,0,1,700,INT8,Chat
1,80GB,,4751,4751,,3658,,0,0,1,700,INT8 (70B),Chat
1,80GB,4242,,,,,,0,0,1,700,FP8,Novel
1,80GB,,37104,37104,,28570,,0,0,1,700,FP8 (70B),Novel
1,80GB,6576,,,,,,0,0,1,700,FP16 (Base),Novel
1,80GB,,57512,57512,,44284,,0,0,1,700,FP16 (Base) (70B),Novel
1,80GB,3818,,,,,,0,0,1,700,AWQ 4-bit,Novel
1,80GB,,33394,33394,,25713,,0,0,1,700,AWQ 4-bit (70B),Novel
1,80GB,4454,,,,,,0,0,1,700,INT8,Novel
1,80GB,,38960,38960,,29999,,0,0,1,700,INT8 (70B),Novel
1,80GB,626,,,,,,0,0,1,700,FP8,Summarization
1,80GB,,5475,5475,,4216,,0,0,1,700,FP8 (70B),Summarization
1,80GB,970,,,,,,0,0,1,700,FP16 (Base),Summarization
1,80GB,,8486,8486,,6535,,0,0,1,700,FP16 (Base) (70B),Summarization
1,80GB,563,,,,,,0,0,1,700,AWQ 4-bit,Summarization
1,80GB,,4928,4928,,3794,,0,0,1,700,AWQ 4-bit (70B),Summarization
1,80GB,657,,,,,,0,0,1,700,INT8,Summarization
1,80GB,,5749,5749,,4427,,0,0,1,700,INT8 (70B),Summarization
1,80GB,556,,,,,,0,0,16,700,FP8,Chat
1,80GB,,4864,4864,,3746,,0,0,16,700,FP8 (70B),Chat
1,80GB,862,,,,,,0,0,16,700,FP16 (Base),Chat
1,80GB,,7540,7540,,5806,,0,0,16,700,FP16 (Base) (70B),Chat
1,80GB,501,,,,,,0,0,16,700,AWQ 4-bit,Chat
1,80GB,,4378,4378,,3371,,0,0,16,700,AWQ 4-bit (70B),Chat
1,80GB,584,,,,,,0,0,16,700,INT8,Chat
1,80GB,,5108,5108,,3933,,0,0,16,700,INT8 (70B),Chat
1,80GB,4560,,,,,,0,0,16,700,FP8,Novel
1,80GB,,39887,39887,,30713,,0,0,16,700,FP8 (70B),Novel
1,80GB,7069,,,,,,0,0,16,700,FP16 (Base),Novel
1,80GB,,61825,61825,,47605,,0,0,16,700,FP16 (Base) (70B),Novel
1,80GB,4104,,,,,,0,0,16,700,AWQ 4-bit,Novel
1,80GB,,35898,35898,,27642,,0,0,16,700,AWQ 4-bit (70B),Novel
1,80GB,4788,,,,,,0,0,16,700,INT8,Novel
1,80GB,,41882,41882,,32249,,0,0,16,700,INT8 (70B),Novel
1,80GB,673,,,,,,0,0,16,700,FP8,Summarization
1,80GB,,5886,5886,,4532,,0,0,16,700,FP8 (70B),Summarization
1,80GB,1043,,,,,,0,0,16,700,FP16 (Base),Summarization
1,80GB,,9123,9123,,7025,,0,0,16,700,FP16 (Base) (70B),Summarization
1,80GB,606,,,,,,0,0,16,700,AWQ 4-bit,Summarization
1,80GB,,5297,5297,,4079,,0,0,16,700,AWQ 4-bit (70B),Summarization
1,80GB,707,,,,,,0,0,16,700,INT8,Summarization
1,80GB,,6180,6180,,4759,,0,0,16,700,INT8 (70B),Summarization
