num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,94GB,482,,,,,,0,0,1,400,FP8,Chat
1,94GB,,4219,4219,,3248,,0,0,1,400,FP8 (70B),Chat
1,94GB,748,,,,,,0,0,1,400,FP16 (Base),Chat
1,94GB,,6539,6539,,5035,,0,0,1,400,FP16 (Base) (70B),Chat
1,94GB,506,,,,,,0,0,1,400,INT8,Chat
1,94GB,,4430,4430,,3411,,0,0,1,400,INT8 (70B),Chat
1,94GB,3955,,,,,,0,0,1,400,FP8,Novel
1,94GB,,34594,34594,,26638,,0,0,1,400,FP8 (70B),Novel
1,94GB,6131,,,,,,0,0,1,400,FP16 (Base),Novel
1,94GB,,53621,53621,,41288,,0,0,1,400,FP16 (Base) (70B),Novel
1,94GB,4153,,,,,,0,0,1,400,INT8,Novel
1,94GB,,36324,36324,,27970,,0,0,1,400,INT8 (70B),Novel
1,94GB,584,,,,,,0,0,1,400,FP8,Summarization
1,94GB,,5105,5105,,3931,,0,0,1,400,FP8 (70B),Summarization
1,94GB,905,,,,,,0,0,1,400,FP16 (Base),Summarization
1,94GB,,7912,7912,,6093,,0,0,1,400,FP16 (Base) (70B),Summarization
1,94GB,613,,,,,,0,0,1,400,INT8,Summarization
1,94GB,,5360,5360,,4127,,0,0,1,400,INT8 (70B),Summarization
1,94GB,519,,,,,,0,0,16,400,FP8,Chat
1,94GB,,4535,4535,,3492,,0,0,16,400,FP8 (70B),Chat
1,94GB,804,,,,,,0,0,16,400,FP16 (Base),Chat
1,94GB,,7030,7030,,5413,,0,0,16,400,FP16 (Base) (70B),Chat
1,94GB,544,,,,,,0,0,16,400,INT8,Chat
1,94GB,,4762,4762,,3667,,0,0,16,400,INT8 (70B),Chat
1,94GB,4252,,,,,,0,0,16,400,FP8,Novel
1,94GB,,37189,37189,,28635,,0,0,16,400,FP8 (70B),Novel
1,94GB,6591,,,,,,0,0,16,400,FP16 (Base),Novel
1,94GB,,57643,57643,,44385,,0,0,16,400,FP16 (Base) (70B),Novel
