num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,141GB,369,,,,,,0,0,1,700,FP8,Chat
1,141GB,,3231,3231,46198,2326,,0,0,1,700,FP8 (70B),Chat
1,141GB,573,,,,,,0,0,1,700,FP16 (Base),Chat
1,141GB,,5007,5007,71607,3605,,0,0,1,700,FP16 (Base) (70B),Chat
1,141GB,240,,,,,,0,0,1,700,FP4,Chat
1,141GB,,2100,2100,30029,1512,,0,0,1,700,FP4 (70B),Chat
1,141GB,3029,,,,,,0,0,1,700,FP8,Novel
1,141GB,,26491,26491,378824,19074,,0,0,1,700,FP8 (70B),Novel
1,141GB,4695,,,,,,0,0,1,700,FP16 (Base),Novel
1,141GB,,41061,41061,587177,29564,,0,0,1,700,FP16 (Base) (70B),Novel
1,141GB,1969,,,,,,0,0,1,700,FP4,Novel
1,141GB,,17219,17219,246235,12398,,0,0,1,700,FP4 (70B),Novel
1,141GB,447,,,,,,0,0,1,700,FP8,Summarization
1,141GB,,3909,3909,55900,2815,,0,0,1,700,FP8 (70B),Summarization
1,141GB,693,,,,,,0,0,1,700,FP16 (Base),Summarization
1,141GB,,6059,6059,86644,4363,,0,0,1,700,FP16 (Base) (70B),Summarization
1,141GB,291,,,,,,0,0,1,700,FP4,Summarization
1,141GB,,2541,2541,36335,1829,,0,0,1,700,FP4 (70B),Summarization
1,141GB,397,,,,,,0,0,16,700,FP8,Chat
1,141GB,,3473,3473,49663,2501,,0,0,16,700,FP8 (70B),Chat
1,141GB,615,,,,,,0,0,16,700,FP16 (Base),Chat
1,141GB,,5383,5383,76977,3876,,0,0,16,700,FP16 (Base) (70B),Chat
1,141GB,258,,,,,,0,0,16,700,FP4,Chat
1,141GB,,2257,2257,32281,1625,,0,0,16,700,FP4 (70B),Chat
1,141GB,3256,,,,,,0,0,16,700,FP8,Novel
1,141GB,,28478,28478,407236,20504,,0,0,16,700,FP8 (70B),Novel
1,141GB,5047,,,,,,0,0,16,700,FP16 (Base),Novel
1,141GB,,44141,44141,631215,31781,,0,0,16,700,FP16 (Base) (70B),Novel
1,141GB,2116,,,,,,0,0,16,700,FP4,Novel
1,141GB,,18511,18511,264703,13328,,0,0,16,700,FP4 (70B),Novel
1,141GB,480,,,,,,0,0,16,700,FP8,Summarization
1,141GB,,4202,4202,60092,3026,,0,0,16,700,FP8 (70B),Summarization
1,141GB,745,,,,,,0,0,16,700,FP16 (Base),Summarization
1,141GB,,6513,6513,93143,4690,,0,0,16,700,FP16 (Base) (70B),Summarization
1,141GB,312,,,,,,0,0,16,700,FP4,Summarization
1,141GB,,2731,2731,39060,1967,,0,0,16,700,FP4 (70B),Summarization
1,141GB,416,,,,,,0,0,64,700,FP8,Chat
1,141GB,,3634,3634,51973,2617,,0,0,64,700,FP8 (70B),Chat
1,141GB,644,,,,,,0,0,64,700,FP16 (Base),Chat
1,141GB,,5633,5633,80558,4056,,0,0,64,700,FP16 (Base) (70B),Chat
1,141GB,270,,,,,,0,0,64,700,FP4,Chat
1,141GB,,2362,2362,33782,1701,,0,0,64,700,FP4 (70B),Chat
1,141GB,3407,,,,,,0,0,64,700,FP8,Novel
1,141GB,,29803,29803,426177,21458,,0,0,64,700,FP8 (70B),Novel
1,141GB,5282,,,,,,0,0,64,700,FP16 (Base),Novel
1,141GB,,46194,46194,660574,33260,,0,0,64,700,FP16 (Base) (70B),Novel
1,141GB,2215,,,,,,0,0,64,700,FP4,Novel
1,141GB,,19372,19372,277015,13948,,0,0,64,700,FP4 (70B),Novel
1,141GB,503,,,,,,0,0,64,700,FP8,Summarization
1,141GB,,4398,4398,62887,3166,,0,0,64,700,FP8 (70B),Summarization
1,141GB,779,,,,,,0,0,64,700,FP16 (Base),Summarization
1,141GB,,6816,6816,97475,4908,,0,0,64,700,FP16 (Base) (70B),Summarization
1,141GB,327,,,,,,0,0,64,700,FP4,Summarization
1,141GB,,2859,2859,40877,2058,,0,0,64,700,FP4 (70B),Summarization
1,141GB,720,,,,,,0,0,256,700,FP8,Chat
1,141GB,,6300,6300,90086,4536,,0,0,256,700,FP8 (70B),Chat
1,141GB,1116,,,,,,0,0,256,700,FP16 (Base),Chat
1,141GB,,9765,9765,139634,7030,,0,0,256,700,FP16 (Base) (70B),Chat
1,141GB,468,,,,,,0,0,256,700,FP4,Chat
1,141GB,,4095,4095,58556,2948,,0,0,256,700,FP4 (70B),Chat
1,141GB,5906,,,,,,0,0,256,700,FP8,Novel
1,141GB,,51658,51658,738706,37194,,0,0,256,700,FP8 (70B),Novel
1,141GB,9155,,,,,,0,0,256,700,FP16 (Base),Novel
1,141GB,,80070,80070,1144995,57650,,0,0,256,700,FP16 (Base) (70B),Novel
1,141GB,3839,,,,,,0,0,256,700,FP4,Novel
1,141GB,,33578,33578,480159,24176,,0,0,256,700,FP4 (70B),Novel
1,141GB,872,,,,,,0,0,256,700,FP8,Summarization
1,141GB,,7623,7623,109004,5488,,0,0,256,700,FP8 (70B),Summarization
1,141GB,1351,,,,,,0,0,256,700,FP16 (Base),Summarization
1,141GB,,11815,11815,168957,8507,,0,0,256,700,FP16 (Base) (70B),Summarization
1,141GB,566,,,,,,0,0,256,700,FP4,Summarization
