num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,48GB,2026,,,,,,0,0,1,350,FP8,Chat
1,48GB,,17719,17719,,15947,,0,0,1,350,FP8 (70B),Chat
1,48GB,3087,,,,,,0,0,1,350,FP16 (Base),Chat
1,48GB,,27000,27000,,24300,,0,0,1,350,FP16 (Base) (70B),Chat
1,48GB,2122,,,,,,0,0,1,350,INT8,Chat
1,48GB,,18563,18563,,16707,,0,0,1,350,INT8 (70B),Chat
1,48GB,16612,,,,,,0,0,1,350,FP8,Novel
1,48GB,,145296,145296,,130767,,0,0,1,350,FP8 (70B),Novel
1,48GB,25314,,,,,,0,0,1,350,FP16 (Base),Novel
1,48GB,,221404,221404,,199263,,0,0,1,350,FP16 (Base) (70B),Novel
1,48GB,17403,,,,,,0,0,1,350,INT8,Novel
1,48GB,,152215,152215,,136994,,0,0,1,350,INT8 (70B),Novel
1,48GB,2451,,,,,,0,0,1,350,FP8,Summarization
1,48GB,,21440,21440,,19296,,0,0,1,350,FP8 (70B),Summarization
1,48GB,3735,,,,,,0,0,1,350,FP16 (Base),Summarization
1,48GB,,32671,32671,,29404,,0,0,1,350,FP16 (Base) (70B),Summarization
1,48GB,2568,,,,,,0,0,1,350,INT8,Summarization
1,48GB,,22461,22461,,20215,,0,0,1,350,INT8 (70B),Summarization
1,48GB,2178,,,,,,0,0,16,350,FP8,Chat
1,48GB,,19048,19048,,17143,,0,0,16,350,FP8 (70B),Chat
1,48GB,3319,,,,,,0,0,16,350,FP16 (Base),Chat
1,48GB,,29026,29026,,26123,,0,0,16,350,FP16 (Base) (70B),Chat
1,48GB,2282,,,,,,0,0,16,350,INT8,Chat
1,48GB,,19955,19955,,17960,,0,0,16,350,INT8 (70B),Chat
1,48GB,17858,,,,,,0,0,16,350,FP8,Novel
1,48GB,,156194,156194,,140574,,0,0,16,350,FP8 (70B),Novel
1,48GB,27212,,,,,,0,0,16,350,FP16 (Base),Novel
1,48GB,,238009,238009,,214208,,0,0,16,350,FP16 (Base) (70B),Novel
1,48GB,18709,,,,,,0,0,16,350,INT8,Novel
1,48GB,,163631,163631,,147268,,0,0,16,350,INT8 (70B),Novel
1,48GB,2635,,,,,,0,0,16,350,FP8,Summarization
1,48GB,,23048,23048,,20743,,0,0,16,350,FP8 (70B),Summarization
1,48GB,4015,,,,,,0,0,16,350,FP16 (Base),Summarization
1,48GB,,35121,35121,,31609,,0,0,16,350,FP16 (Base) (70B),Summarization
1,48GB,2761,,,,,,0,0,16,350,INT8,Summarization
1,48GB,,24146,24146,,21731,,0,0,16,350,INT8 (70B),Summarization
1,48GB,2279,,,,,,0,0,64,350,FP8,Chat
1,48GB,,19934,19934,,17941,,0,0,64,350,FP8 (70B),Chat
1,48GB,3473,,,,,,0,0,64,350,FP16 (Base),Chat
1,48GB,,30376,30376,,27338,,0,0,64,350,FP16 (Base) (70B),Chat
1,48GB,2388,,,,,,0,0,64,350,INT8,Chat
1,48GB,,20883,20883,,18795,,0,0,64,350,INT8 (70B),Chat
1,48GB,18689,,,,,,0,0,64,350,FP8,Novel
