num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,288GB,178,,,,,,0,0,1,500,MXFP4,Chat
1,288GB,,1559,1559,8107,967,40537,0,0,1,500,MXFP4 (70B),Chat
1,288GB,241,,,,,,0,0,1,500,FP8,Chat
1,288GB,,2105,2105,10945,1305,54725,0,0,1,500,FP8 (70B),Chat
1,288GB,357,,,,,,0,0,1,500,FP16 (Base),Chat
1,288GB,,3118,3118,16215,1933,81075,0,0,1,500,FP16 (Base) (70B),Chat
1,288GB,1462,,,,,,0,0,1,500,MXFP4,Novel
1,288GB,,12785,12785,66481,7927,332407,0,0,1,500,MXFP4 (70B),Novel
1,288GB,1973,,,,,,0,0,1,500,FP8,Novel
1,288GB,,17260,17260,89750,10701,448749,0,0,1,500,FP8 (70B),Novel
1,288GB,2923,,,,,,0,0,1,500,FP16 (Base),Novel
1,288GB,,25570,25570,132963,15853,664813,0,0,1,500,FP16 (Base) (70B),Novel
1,288GB,216,,,,,,0,0,1,500,MXFP4,Summarization
1,288GB,,1887,1887,9810,1170,49050,0,0,1,500,MXFP4 (70B),Summarization
1,288GB,291,,,,,,0,0,1,500,FP8,Summarization
1,288GB,,2547,2547,13244,1579,66218,0,0,1,500,FP8 (70B),Summarization
1,288GB,431,,,,,,0,0,1,500,FP16 (Base),Summarization
1,288GB,,3773,3773,19620,2339,98100,0,0,1,500,FP16 (Base) (70B),Summarization
1,288GB,192,,,,,,0,0,16,500,MXFP4,Chat
1,288GB,,1676,1676,8716,1039,43578,0,0,16,500,MXFP4 (70B),Chat
1,288GB,259,,,,,,0,0,16,500,FP8,Chat
1,288GB,,2263,2263,11766,1403,58830,0,0,16,500,FP8 (70B),Chat
1,288GB,383,,,,,,0,0,16,500,FP16 (Base),Chat
1,288GB,,3352,3352,17431,2078,87155,0,0,16,500,FP16 (Base) (70B),Chat
1,288GB,1571,,,,,,0,0,16,500,MXFP4,Novel
1,288GB,,13744,13744,71467,8521,357337,0,0,16,500,MXFP4 (70B),Novel
1,288GB,2121,,,,,,0,0,16,500,FP8,Novel
1,288GB,,18554,18554,96481,11504,482405,0,0,16,500,FP8 (70B),Novel
1,288GB,3143,,,,,,0,0,16,500,FP16 (Base),Novel
1,288GB,,27487,27487,142935,17042,714674,0,0,16,500,FP16 (Base) (70B),Novel
1,288GB,232,,,,,,0,0,16,500,MXFP4,Summarization
1,288GB,,2028,2028,10546,1257,52729,0,0,16,500,MXFP4 (70B),Summarization
1,288GB,313,,,,,,0,0,16,500,FP8,Summarization
1,288GB,,2738,2738,14237,1697,71184,0,0,16,500,FP8 (70B),Summarization
1,288GB,464,,,,,,0,0,16,500,FP16 (Base),Summarization
1,288GB,,4056,4056,21092,2515,105458,0,0,16,500,FP16 (Base) (70B),Summarization
1,288GB,201,,,,,,0,0,64,500,MXFP4,Chat
1,288GB,,1754,1754,9121,1087,45605,0,0,64,500,MXFP4 (70B),Chat
1,288GB,271,,,,,,0,0,64,500,FP8,Chat
1,288GB,,2368,2368,12313,1468,61566,0,0,64,500,FP8 (70B),Chat
1,288GB,401,,,,,,0,0,64,500,FP16 (Base),Chat
1,288GB,,3508,3508,18242,2175,91209,0,0,64,500,FP16 (Base) (70B),Chat
1,288GB,1644,,,,,,0,0,64,500,MXFP4,Novel
1,288GB,,14383,14383,74791,8917,373957,0,0,64,500,MXFP4 (70B),Novel
1,288GB,2220,,,,,,0,0,64,500,FP8,Novel
1,288GB,,19417,19417,100969,12039,504843,0,0,64,500,FP8 (70B),Novel
1,288GB,3289,,,,,,0,0,64,500,FP16 (Base),Novel
1,288GB,,28766,28766,149583,17835,747915,0,0,64,500,FP16 (Base) (70B),Novel
1,288GB,243,,,,,,0,0,64,500,MXFP4,Summarization
1,288GB,,2122,2122,11036,1316,55182,0,0,64,500,MXFP4 (70B),Summarization
1,288GB,328,,,,,,0,0,64,500,FP8,Summarization
1,288GB,,2865,2865,14899,1776,74495,0,0,64,500,FP8 (70B),Summarization
1,288GB,485,,,,,,0,0,64,500,FP16 (Base),Summarization
1,288GB,,4245,4245,22073,2632,110363,0,0,64,500,FP16 (Base) (70B),Summarization
1,288GB,348,,,,,,0,0,256,500,MXFP4,Chat
1,288GB,,3040,3040,15810,1885,79048,0,0,256,500,MXFP4 (70B),Chat
1,288GB,469,,,,,,0,0,256,500,FP8,Chat
1,288GB,,4104,4104,21343,2545,106715,0,0,256,500,FP8 (70B),Chat
1,288GB,695,,,,,,0,0,256,500,FP16 (Base),Chat
1,288GB,,6081,6081,31619,3770,158096,0,0,256,500,FP16 (Base) (70B),Chat
1,288GB,2850,,,,,,0,0,256,500,MXFP4,Novel
1,288GB,,24930,24930,129639,15457,648193,0,0,256,500,MXFP4 (70B),Novel
1,288GB,3848,,,,,,0,0,256,500,FP8,Novel
1,288GB,,33656,33656,175012,20867,875060,0,0,256,500,FP8 (70B),Novel
1,288GB,5701,,,,,,0,0,256,500,FP16 (Base),Novel
1,288GB,,49861,49861,259277,30914,1296386,0,0,256,500,FP16 (Base) (70B),Novel
1,288GB,421,,,,,,0,0,256,500,MXFP4,Summarization
