Node_Num,Node_Type,Inter_GPU_Bandwidth,Load_Bandwidth_PCIE,Load_Delay_NVLinkNum_GPUs
0,8_A100s,600GB/s,64GB/s,600GB/s
1,8_H100s,900GB/s,128GB/s,900GB/s
2,8_H200s,900GB/s,128GB/s,900GB/s
3,8_B200s,1800GB/s,128GB/s,1800GB/s
4,8_MI300Xs,896GB/s,128GB/s,896GB/s
5,1_CPUs,0GB/s,0GB/s,0GB/s
6,4_A100s,600GB/s,64GB/s,600GB/s
7,4_H100s,900GB/s,128GB/s,900GB/s
8,2_GH200s,900GB/s,128GB/s,900GB/s
9,8_L40Ss,300GB/s,64GB/s,300GB/s
10,8_MI325Xs,896GB/s,128GB/s,896GB/s
11,8_MI355Xs,1152GB/s,128GB/s,1152GB/s
12,8_B300s,1800GB/s,128GB/s,1800GB/s
13,4_H200s,900GB/s,128GB/s,900GB/s
14,4_B200s,1800GB/s,128GB/s,1800GB/s
15,2_H100s,900GB/s,128GB/s,900GB/s
16,1_H100s,900GB/s,128GB/s,900GB/s
17,4_MI300Xs,896GB/s,128GB/s,896GB/s
18,2_L40Ss,300GB/s,64GB/s,300GB/s
19,8_H100_NVLs,600GB/s,128GB/s,600GB/s
